Country,Correlation,P-value,N
Mexico,-0.9411974919733945,1.112579576138441e-15,32
Chile,-0.8937920428403625,5.721475391951135e-12,32
Korea,-0.8836109371584773,2.105303033993683e-11,32
Brazil,-0.8348225992281444,2.8550369318895095e-09,32
Japan,0.1873889031435535,0.3044248488610473,32
Greece,0.3107669990113563,0.08341984243489362,32
Spain,0.3659463914392612,0.03941687948220915,32
Italy,0.5336988715415762,0.0016566450592287393,32
Sweden,0.580808862249216,0.0004914628376147919,32
Germany,0.7706251415999295,2.4782540846454885e-07,32
France,0.7766800456547895,1.7339476691854534e-07,32
